SMILES,Density,id
*CC(*)c1ccccc1C(=O)O,1.14579736,35725
*CC(*)c1ccccc1C(=O)OC,1.093619065,35726
*CC(*)c1ccccc1C(=O)OCC,1.070874613,35727
*CC(*)c1ccccc1C(=O)OCCC,1.060275726,35728
*CC(*)c1ccccc1C(=O)OC(C)C,1.04558941,35729
*CC(*)c1ccccc1C(=O)OCCCC,1.040151362,35730
*CC(*)c1ccccc1C(=O)OCC(C)C,1.035196742,35731
*CC(*)c1ccccc1C(=O)OCCCCC,1.030247482,35732
*CC(*)c1ccccc1C(=O)OCCC(C)C,1.035083827,35733
*CC(*)c1ccccc1C(=O)OCCCCCC,1.011034746,35734
*CC(*)c1ccccc1C(=O)Oc1ccccc1,1.133417531,35735
*CC(*)c1ccccc1C(=O)OCCN(C)C,1.081969242,35736
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,1.072615261,35737
*CC(*)c1ccccc1OC,1.022974296,35738
*CC(*)c1ccccc1Cl,1.153238245,35739
*CC(*)c1ccccc1F,1.105762216,35740
*CC(*)c1cccc(C)c1,0.969357307,35741
*CC(*)c1cccc(CC)c1,0.951189371,35742
*CC(*)c1cccc(-c2ccc(-c3ccccc3)cc2)c1,1.059615223,35743
